clusters_sub	cell_types
ASGR1pos325_1_85	11	Hepatocytes
ASGR1pos325_1_89	11	Hepatocytes
ASGR1pos325_1_91	13	LSEC
ASGR1pos325_1_92	11	Hepatocytes
ASGR1pos325_2_100	14	Hepatocytes
ASGR1pos325_2_102	11	Hepatocytes
ASGR1pos325_2_103	17	Hepatocytes
ASGR1pos325_2_104	14	Hepatocytes
ASGR1pos325_2_109	11	Hepatocytes
ASGR1pos325_2_118	11	Hepatocytes
ASGR1pos325_2_120	11	Hepatocytes
ASGR1pos325_2_123	14	Hepatocytes
ASGR1pos325_2_124	11	Hepatocytes
ASGR1pos325_2_127	11	Hepatocytes
ASGR1pos325_2_130	11	Hepatocytes
ASGR1pos325_2_131	11	Hepatocytes
ASGR1pos325_2_132	14	Hepatocytes
ASGR1pos325_2_138	11	Hepatocytes
ASGR1pos325_2_145	14	Hepatocytes
ASGR1pos325_2_154	11	Hepatocytes
ASGR1pos325_2_159	11	Hepatocytes
ASGR1pos325_2_160	11	Hepatocytes
ASGR1pos325_2_162	11	Hepatocytes
ASGR1pos325_2_163	11	Hepatocytes
ASGR1pos325_2_166	11	Hepatocytes
ASGR1pos325_2_167	11	Hepatocytes
ASGR1pos325_2_168	11	Hepatocytes
ASGR1pos325_2_170	14	Hepatocytes
ASGR1pos325_2_173	11	Hepatocytes
ASGR1pos325_2_176	14	Hepatocytes
ASGR1pos325_2_178	11	Hepatocytes
ASGR1pos325_2_181	11	Hepatocytes
ASGR1pos325_2_183	11	Hepatocytes
ASGR1pos325_2_185	11	Hepatocytes
ASGR1pos325_2_188	11	Hepatocytes
ASGR1pos325_2_190	11	Hepatocytes
ASGR1pos325_2_191	11	Hepatocytes
ASGR1pos325_2_192	11	Hepatocytes
ASGR1posCD45neg_10_98	11	Hepatocytes
ASGR1posCD45neg_10_100	11	Hepatocytes
ASGR1posCD45neg_10_106	11	Hepatocytes
ASGR1posCD45neg_10_109	4	EPCAM+
ASGR1posCD45neg_10_110	11	Hepatocytes
ASGR1posCD45neg_10_114	11	Hepatocytes
ASGR1posCD45neg_10_122	11	Hepatocytes
ASGR1posCD45neg_10_124	11	Hepatocytes
ASGR1posCD45neg_10_126	11	Hepatocytes
ASGR1posCD45neg_10_127	11	Hepatocytes
ASGR1posCD45neg_10_129	11	Hepatocytes
ASGR1posCD45neg_10_130	11	Hepatocytes
ASGR1posCD45neg_10_134	11	Hepatocytes
ASGR1posCD45neg_10_138	11	Hepatocytes
ASGR1posCD45neg_10_141	11	Hepatocytes
ASGR1posCD45neg_10_142	14	Hepatocytes
ASGR1posCD45neg_10_144	11	Hepatocytes
ASGR1posCD45neg_10_146	11	Hepatocytes
ASGR1posCD45neg_10_148	11	Hepatocytes
ASGR1posCD45neg_10_149	4	EPCAM+
ASGR1posCD45neg_10_150	11	Hepatocytes
ASGR1posCD45neg_10_151	7	EPCAM+
ASGR1posCD45neg_10_152	11	Hepatocytes
ASGR1posCD45neg_10_154	11	Hepatocytes
ASGR1posCD45neg_10_158	11	Hepatocytes
ASGR1posCD45neg_10_169	11	Hepatocytes
ASGR1posCD45neg_10_171	11	Hepatocytes
ASGR1posCD45neg_10_173	11	Hepatocytes
ASGR1posCD45neg_10_175	11	Hepatocytes
ASGR1posCD45neg_10_176	11	Hepatocytes
ASGR1posCD45neg_10_178	11	Hepatocytes
ASGR1posCD45neg_10_181	11	Hepatocytes
ASGR1posCD45neg_10_183	11	Hepatocytes
ASGR1posCD45neg_10_184	11	Hepatocytes
ASGR1posCD45neg_10_185	11	Hepatocytes
ASGR1posCD45neg_10_188	11	Hepatocytes
ASGR1posCD45neg_10_191	11	Hepatocytes
ASGR1posCD45neg_10_192	11	Hepatocytes
ASGR1posCD45neg_9_1	11	Hepatocytes
ASGR1posCD45neg_9_2	11	Hepatocytes
ASGR1posCD45neg_9_4	11	Hepatocytes
ASGR1posCD45neg_9_5	11	Hepatocytes
ASGR1posCD45neg_9_6	11	Hepatocytes
ASGR1posCD45neg_9_7	17	Hepatocytes
ASGR1posCD45neg_9_8	11	Hepatocytes
ASGR1posCD45neg_9_10	11	Hepatocytes
ASGR1posCD45neg_9_12	11	Hepatocytes
ASGR1posCD45neg_9_14	11	Hepatocytes
ASGR1posCD45neg_9_15	11	Hepatocytes
ASGR1posCD45neg_9_21	11	Hepatocytes
ASGR1posCD45neg_9_27	11	Hepatocytes
ASGR1posCD45neg_9_28	11	Hepatocytes
ASGR1posCD45neg_9_29	11	Hepatocytes
ASGR1posCD45neg_9_30	11	Hepatocytes
ASGR1posCD45neg_9_33	11	Hepatocytes
ASGR1posCD45neg_9_35	11	Hepatocytes
ASGR1posCD45neg_9_37	11	Hepatocytes
ASGR1posCD45neg_9_41	11	Hepatocytes
ASGR1posCD45neg_9_43	11	Hepatocytes
ASGR1posCD45neg_9_45	11	Hepatocytes
ASGR1posCD45neg_9_49	11	Hepatocytes
ASGR1posCD45neg_9_50	11	Hepatocytes
ASGR1posCD45neg_9_51	11	Hepatocytes
ASGR1posCD45neg_9_52	11	Hepatocytes
ASGR1posCD45neg_9_55	11	Hepatocytes
ASGR1posCD45neg_9_56	11	Hepatocytes
ASGR1posCD45neg_9_60	11	Hepatocytes
ASGR1posCD45neg_9_61	7	EPCAM+
ASGR1posCD45neg_9_62	11	Hepatocytes
ASGR1posCD45neg_9_63	11	Hepatocytes
ASGR1posCD45neg_9_67	11	Hepatocytes
ASGR1posCD45neg_9_68	11	Hepatocytes
ASGR1posCD45neg_9_71	11	Hepatocytes
ASGR1posCD45neg_9_72	11	Hepatocytes
ASGR1posCD45neg_9_75	14	Hepatocytes
ASGR1posCD45neg_9_78	11	Hepatocytes
ASGR1posCD45neg_9_79	11	Hepatocytes
ASGR1posCD45neg_9_81	11	Hepatocytes
ASGR1posCD45neg_9_82	11	Hepatocytes
ASGR1posCD45neg_9_83	11	Hepatocytes
ASGR1posCD45neg_9_84	11	Hepatocytes
ASGR1posCD45neg_9_91	11	Hepatocytes
ASGR1posCD45neg_9_92	11	Hepatocytes
ASGR1posCD45neg_9_94	11	Hepatocytes
ASGR1posCD45neg_9_95	11	Hepatocytes
ASGR1posCD45neg_9_96	11	Hepatocytes
ASGR1posCD45pos_11_11	11	Hepatocytes
ASGR1posCD45pos_11_14	17	Hepatocytes
ASGR1posCD45pos_11_31	17	Hepatocytes
ASGR1posCD45pos_11_37	11	Hepatocytes
ASGR1posCD45pos_11_44	11	Hepatocytes
ASGR1posCD45pos_11_56	11	Hepatocytes
ASGR1posCD45pos_11_57	17	Hepatocytes
ASGR1posCD45pos_11_82	11	Hepatocytes
ASGR1posCD45pos_11_90	11	Hepatocytes
ASGR1posCD45pos_11_91	17	Hepatocytes
ASGR1posCD45pos_12_104	11	Hepatocytes
ASGR1posCD45pos_12_107	17	Hepatocytes
ASGR1posCD45pos_12_109	11	Hepatocytes
ASGR1posCD45pos_12_117	17	Hepatocytes
ASGR1posCD45pos_12_123	11	Hepatocytes
ASGR1posCD45pos_12_124	11	Hepatocytes
ASGR1posCD45pos_12_129	11	Hepatocytes
ASGR1posCD45pos_12_130	11	Hepatocytes
ASGR1posCD45pos_12_132	17	Hepatocytes
ASGR1posCD45pos_12_135	17	Hepatocytes
ASGR1posCD45pos_12_143	17	Hepatocytes
ASGR1posCD45pos_12_146	17	Hepatocytes
ASGR1posCD45pos_12_156	11	Hepatocytes
ASGR1posCD45pos_12_170	11	Hepatocytes
ASGR1posCD45pos_12_172	11	Hepatocytes
ASGR1posCD45pos_12_179	17	Hepatocytes
ASGR1posCD45pos_12_187	11	Hepatocytes
ASGR1pos_4_110	4	EPCAM+
ASGR1pos_4_135	4	EPCAM+
ASGR1pos_4_137	17	Hepatocytes
ASGR1pos_4_144	4	EPCAM+
ASGR1pos_4_159	7	EPCAM+
ASGR1pos_4_175	4	EPCAM+
ASGR1pos_4_176	11	Hepatocytes
ASGR1posfresh_4_110	4	EPCAM+
ASGR1posfresh_4_135	4	EPCAM+
ASGR1posfresh_4_137	17	Hepatocytes
ASGR1posfresh_4_151	11	Hepatocytes
ASGR1posfresh_4_157	4	EPCAM+
ASGR1posfresh_4_159	7	EPCAM+
ASGR1posfresh_4_175	4	EPCAM+
ASGR1posfresh_4_176	11	Hepatocytes
CD34pos315_5_6	9	LSEC
CD34pos315_5_9	13	LSEC
CD34pos315_5_16	20	LSEC
CD34pos315_5_23	13	LSEC
CD34pos315_5_24	13	LSEC
CD34pos315_5_25	13	LSEC
CD34pos315_5_26	6	Kupffer cell
CD34pos315_5_35	6	Kupffer cell
CD34pos315_5_47	20	LSEC
CD34pos315_5_53	13	LSEC
CD34pos315_5_54	13	LSEC
CD34pos315_5_55	13	LSEC
CD34pos315_5_59	20	LSEC
CD34pos315_5_61	13	LSEC
CD34pos315_5_65	6	Kupffer cell
CD34pos315_5_77	13	LSEC
CD34pos315_5_80	6	Kupffer cell
CD34pos315_5_82	6	Kupffer cell
CD34pos315_5_84	9	LSEC
CD34pos315_5_86	13	LSEC
CD34pos315_5_88	13	LSEC
CD34pos315_5_95	9	LSEC
CD34pos315_6_98	20	LSEC
CD34pos315_6_108	13	LSEC
CD34pos315_6_113	9	LSEC
CD34pos315_6_118	9	LSEC
CD34pos315_6_120	9	LSEC
CD34pos315_6_123	20	LSEC
CD34pos315_6_126	9	LSEC
CD34pos315_6_127	13	LSEC
CD34pos315_6_142	13	LSEC
CD34pos315_6_153	13	LSEC
CD34pos315_6_154	9	LSEC
CD34pos315_6_156	13	LSEC
CD34pos315_6_157	2	Kupffer cell
CD34pos315_6_167	9	LSEC
CD34pos315_6_170	20	LSEC
CD34pos315_6_178	13	LSEC
CD34pos315_6_182	23	Kupffer cell
CD34pos325fresh_10_98	13	LSEC
CD34pos325fresh_10_104	13	LSEC
CD34pos325fresh_10_109	13	LSEC
CD34pos325fresh_10_110	13	LSEC
CD34pos325fresh_10_121	13	LSEC
CD34pos325fresh_10_124	13	LSEC
CD34pos325fresh_10_129	13	LSEC
CD34pos325fresh_10_131	9	LSEC
CD34pos325fresh_10_136	13	LSEC
CD34pos325fresh_10_137	13	LSEC
CD34pos325fresh_10_138	23	Kupffer cell
CD34pos325fresh_10_139	9	LSEC
CD34pos325fresh_10_141	13	LSEC
CD34pos325fresh_10_142	13	LSEC
CD34pos325fresh_10_143	13	LSEC
CD34pos325fresh_10_144	4	EPCAM+
CD34pos325fresh_10_147	6	Kupffer cell
CD34pos325fresh_10_151	13	LSEC
CD34pos325fresh_10_152	13	LSEC
CD34pos325fresh_10_153	9	LSEC
CD34pos325fresh_10_155	9	LSEC
CD34pos325fresh_10_166	13	LSEC
CD34pos325fresh_10_170	9	LSEC
CD34pos325fresh_10_174	9	LSEC
CD34pos325fresh_10_175	13	LSEC
CD34pos325fresh_10_178	20	LSEC
CD34pos325fresh_10_182	13	LSEC
CD34pos325fresh_10_186	4	EPCAM+
CD34pos325fresh_10_187	13	LSEC
CD34pos325fresh_10_188	13	LSEC
CD34pos325fresh_10_192	13	LSEC
CD34pos325fresh_11_6	13	LSEC
CD34pos325fresh_11_14	13	LSEC
CD34pos325fresh_11_40	13	LSEC
CD34pos325fresh_11_45	13	LSEC
CD34pos325fresh_11_49	9	LSEC
CD34pos325fresh_11_50	13	LSEC
CD34pos325fresh_11_67	13	LSEC
CD34pos325fresh_11_70	13	LSEC
CD34pos325fresh_11_86	13	LSEC
CD34pos325fresh_11_90	13	LSEC
CD34pos325fresh_11_94	9	LSEC
CD34pos325fresh_11_95	20	LSEC
CD34pos325fresh_12_105	13	LSEC
CD34pos325fresh_12_110	13	LSEC
CD34pos325fresh_12_115	13	LSEC
CD34pos325fresh_12_116	13	LSEC
CD34pos325fresh_12_131	13	LSEC
CD34pos325fresh_12_134	13	LSEC
CD34pos325fresh_12_140	9	LSEC
CD34pos325fresh_12_145	9	LSEC
CD34pos325fresh_12_155	6	Kupffer cell
CD34pos325fresh_12_158	13	LSEC
CD34pos325fresh_12_161	13	LSEC
CD34pos325fresh_12_166	6	Kupffer cell
CD34pos325fresh_12_172	13	LSEC
CD34pos325fresh_12_175	6	Kupffer cell
CD34pos325fresh_12_181	20	LSEC
CD34pos325fresh_12_186	9	LSEC
CD34pos325fresh_12_190	13	LSEC
CD34pos325fresh_9_2	13	LSEC
CD34pos325fresh_9_9	6	Kupffer cell
CD34pos325fresh_9_17	13	LSEC
CD34pos325fresh_9_18	6	Kupffer cell
CD34pos325fresh_9_23	13	LSEC
CD34pos325fresh_9_24	6	Kupffer cell
CD34pos325fresh_9_30	13	LSEC
CD34pos325fresh_9_34	13	LSEC
CD34pos325fresh_9_39	13	LSEC
CD34pos325fresh_9_43	13	LSEC
CD34pos325fresh_9_44	6	Kupffer cell
CD34pos325fresh_9_46	13	LSEC
CD34pos325fresh_9_50	13	LSEC
CD34pos325fresh_9_57	9	LSEC
CD34pos325fresh_9_58	9	LSEC
CD34pos325fresh_9_63	13	LSEC
CD34pos325fresh_9_76	13	LSEC
CD34pos325fresh_9_81	9	LSEC
CD34pos325fresh_9_84	13	LSEC
CD34pos_10_103	13	LSEC
CD34pos_10_107	13	LSEC
CD34pos_10_109	9	LSEC
CD34pos_10_115	2	Kupffer cell
CD34pos_10_125	2	Kupffer cell
CD34pos_10_131	9	LSEC
CD34pos_10_132	9	LSEC
CD34pos_10_148	13	LSEC
CD34pos_10_157	9	LSEC
CD34pos_10_179	6	Kupffer cell
CD34pos_9_1	31	Kupffer cell
CD34pos_9_42	13	LSEC
CD34pos_9_43	13	LSEC
CD34pos_9_47	13	LSEC
CD34pos_9_51	13	LSEC
CD34pos_9_55	20	LSEC
CD34pos_9_57	20	LSEC
CD34pos_9_59	25	Kupffer cell
CD34pos_9_61	4	EPCAM+
CD34pos_9_65	9	LSEC
CD34pos_9_68	6	Kupffer cell
CD34pos_9_69	9	LSEC
CD34pos_9_71	11	Hepatocytes
CD34pos_9_73	13	LSEC
CD34pos_9_78	6	Kupffer cell
CD34pos_9_82	9	LSEC
CD34pos_9_83	13	LSEC
CD34pos_9_87	13	LSEC
CD34pos_9_93	9	LSEC
CD34pos_9_95	9	LSEC
CD45_NPC_P5_10_59	25	Kupffer cell
CD45_NPC_P5_10_106	6	Kupffer cell
CD45_NPC_P5_10_113	4	EPCAM+
CD45_NPC_P5_10_136	6	Kupffer cell
CD45_NPC_P5_10_137	4	EPCAM+
CD45_NPC_P5_10_157	2	Kupffer cell
CD45_NPC_P5_10_159	2	Kupffer cell
CD45_NPC_P5_10_174	2	Kupffer cell
CD45_NPC_P5_10_175	6	Kupffer cell
CD45_NPC_P5_10_184	25	Kupffer cell
CD45_NPC_P5_11_7	25	Kupffer cell
CD45_NPC_P5_11_56	6	Kupffer cell
CD45_NPC_P5_11_61	7	EPCAM+
CD45_NPC_P5_11_69	2	Kupffer cell
CD45_NPC_P5_11_76	2	Kupffer cell
CD45_NPC_P5_11_80	2	Kupffer cell
CD45_NPC_P5_11_85	2	Kupffer cell
CD45_NPC_P5_11_173	2	Kupffer cell
CD45_NPC_P5_12_113	4	EPCAM+
CD45_NPC_P5_12_131	2	Kupffer cell
CD45_NPC_P5_12_132	2	Kupffer cell
CD45_NPC_P5_12_144	2	Kupffer cell
CD45_NPC_P5_12_173	2	Kupffer cell
CD45_NPC_P5_12_178	2	Kupffer cell
CD45_NPC_P5_9_59	2	Kupffer cell
CD45negASGR1neg315_10_110	7	EPCAM+
CD45negASGR1neg315_10_116	14	Hepatocytes
CD45negASGR1neg315_10_123	4	EPCAM+
CD45negASGR1neg315_10_124	13	LSEC
CD45negASGR1neg315_10_145	11	Hepatocytes
CD45negASGR1neg315_10_151	4	EPCAM+
CD45negASGR1neg315_10_154	4	EPCAM+
CD45negASGR1neg315_10_190	9	LSEC
CD45negASGR1neg315_10_191	9	LSEC
CD45negASGR1neg315_11_15	13	LSEC
CD45negASGR1neg315_11_20	9	LSEC
CD45negASGR1neg315_11_30	9	LSEC
CD45negASGR1neg315_11_39	13	LSEC
CD45negASGR1neg315_11_59	13	LSEC
CD45negASGR1neg315_11_69	17	Hepatocytes
CD45negASGR1neg315_11_92	13	LSEC
CD45negASGR1neg315_12_123	13	LSEC
CD45negASGR1neg315_12_155	13	LSEC
CD45negASGR1neg315_12_171	13	LSEC
CD45negASGR1neg315_7_5	9	LSEC
CD45negASGR1neg315_7_8	6	Kupffer cell
CD45negASGR1neg315_7_9	4	EPCAM+
CD45negASGR1neg315_7_12	9	LSEC
CD45negASGR1neg315_7_14	14	Hepatocytes
CD45negASGR1neg315_7_20	7	EPCAM+
CD45negASGR1neg315_7_40	13	LSEC
CD45negASGR1neg315_7_66	9	LSEC
CD45negASGR1neg315_7_72	13	LSEC
CD45negASGR1neg315_7_78	9	LSEC
CD45negASGR1neg315_8_105	14	Hepatocytes
CD45negASGR1neg315_8_113	13	LSEC
CD45negASGR1neg315_8_114	13	LSEC
CD45negASGR1neg315_8_119	13	LSEC
CD45negASGR1neg315_8_159	9	LSEC
CD45negASGR1neg315_8_170	14	Hepatocytes
CD45negASGR1neg315_8_181	9	LSEC
CD45negASGR1neg315_9_4	9	LSEC
CD45negASGR1neg315_9_12	14	Hepatocytes
CD45negASGR1neg315_9_19	7	EPCAM+
CD45negASGR1neg315_9_28	13	LSEC
CD45negASGR1neg315_9_40	9	LSEC
CD45negASGR1neg315_9_51	13	LSEC
CD45negASGR1neg315_9_75	4	EPCAM+
CD45negASGR1neg315_9_81	13	LSEC
CD45negASGR1neg315_9_91	7	EPCAM+
CD45negASGR1negBio_5_6	11	Hepatocytes
CD45negASGR1negBio_5_13	11	Hepatocytes
CD45negASGR1negBio_5_20	11	Hepatocytes
CD45negASGR1negBio_5_26	30	Hepatocytes
CD45negASGR1negBio_5_37	30	Hepatocytes
CD45negASGR1negBio_5_42	7	EPCAM+
CD45negASGR1negBio_5_46	7	EPCAM+
CD45negASGR1negBio_5_48	30	Hepatocytes
CD45negASGR1negBio_5_50	24	EPCAM+
CD45negASGR1negBio_5_61	11	Hepatocytes
CD45negASGR1negBio_5_70	11	Hepatocytes
CD45negASGR1negBio_5_76	30	Hepatocytes
CD45negASGR1negBio_6_103	7	EPCAM+
CD45negASGR1negBio_6_107	30	Hepatocytes
CD45negASGR1negBio_6_120	7	EPCAM+
CD45negASGR1negBio_6_123	4	EPCAM+
CD45negASGR1negBio_6_132	30	Hepatocytes
CD45negASGR1negBio_6_139	11	Hepatocytes
CD45negASGR1negBio_6_142	7	EPCAM+
CD45negASGR1negBio_6_143	30	Hepatocytes
CD45negASGR1negBio_6_147	7	EPCAM+
CD45negASGR1negBio_6_162	30	Hepatocytes
CD45negASGR1negBio_6_171	7	EPCAM+
CD45negASGR1negBio_6_190	11	Hepatocytes
CD45negASGR1negBio_7_3	17	Hepatocytes
CD45negASGR1negBio_7_7	11	Hepatocytes
CD45negASGR1negBio_7_8	30	Hepatocytes
CD45negASGR1negBio_7_10	4	EPCAM+
CD45negASGR1negBio_7_11	6	Kupffer cell
CD45negASGR1negBio_7_35	11	Hepatocytes
CD45negASGR1negBio_7_43	17	Hepatocytes
CD45negASGR1negBio_7_49	30	Hepatocytes
CD45negASGR1negBio_7_57	11	Hepatocytes
CD45negASGR1negBio_7_59	30	Hepatocytes
CD45negASGR1negBio_7_61	7	EPCAM+
CD45negASGR1negBio_7_62	7	EPCAM+
CD45negASGR1negBio_7_66	11	Hepatocytes
CD45negASGR1negBio_7_81	30	Hepatocytes
CD45negASGR1negBio_8_108	17	Hepatocytes
CD45negASGR1negBio_8_126	30	Hepatocytes
CD45negASGR1negBio_8_129	30	Hepatocytes
CD45negASGR1negBio_8_131	30	Hepatocytes
CD45negASGR1negBio_8_134	9	LSEC
CD45negASGR1negBio_8_173	4	EPCAM+
CD45negASGR1negBio_8_186	30	Hepatocytes
CD45pos315_13_1	6	Kupffer cell
CD45pos315_13_8	2	Kupffer cell
CD45pos315_13_9	2	Kupffer cell
CD45pos315_13_29	2	Kupffer cell
CD45pos315_13_38	6	Kupffer cell
CD45pos315_13_66	2	Kupffer cell
CD45pos315_13_74	2	Kupffer cell
CD45pos315_13_77	25	Kupffer cell
CD45pos315_14_100	2	Kupffer cell
CD45pos315_14_109	2	Kupffer cell
CD45pos315_14_111	13	LSEC
CD45pos315_14_117	2	Kupffer cell
CD45pos315_14_120	2	Kupffer cell
CD45pos315_14_144	2	Kupffer cell
CD45pos315_14_153	31	Kupffer cell
CD45pos315_14_157	6	Kupffer cell
CD45pos315_15_12	2	Kupffer cell
CD45pos315_15_29	6	Kupffer cell
CD45pos315_15_36	31	Kupffer cell
CD45pos315_15_39	2	Kupffer cell
CD45pos315_15_76	6	Kupffer cell
CD45pos315_16_108	2	Kupffer cell
CD45pos315_16_111	2	Kupffer cell
CD45pos315_16_113	6	Kupffer cell
CD45pos315_16_148	2	Kupffer cell
CD45pos315_16_172	6	Kupffer cell
CD45pos325_5_4	2	Kupffer cell
CD45pos325_5_8	2	Kupffer cell
CD45pos325_5_11	6	Kupffer cell
CD45pos325_5_29	25	Kupffer cell
CD45pos325_5_42	25	Kupffer cell
CD45pos325_5_49	2	Kupffer cell
CD45pos325_5_50	25	Kupffer cell
CD45pos325_5_54	11	Hepatocytes
CD45pos325_5_55	2	Kupffer cell
CD45pos325_5_59	2	Kupffer cell
CD45pos325_5_63	2	Kupffer cell
CD45pos325_5_76	2	Kupffer cell
CD45pos325_5_79	2	Kupffer cell
CD45pos325_5_82	25	Kupffer cell
CD45pos325_5_87	2	Kupffer cell
CD45pos325_5_88	2	Kupffer cell
CD45pos325_5_89	6	Kupffer cell
CD45pos325_6_105	2	Kupffer cell
CD45pos325_6_113	6	Kupffer cell
CD45pos325_6_120	25	Kupffer cell
CD45pos325_6_123	2	Kupffer cell
CD45pos325_6_125	31	Kupffer cell
CD45pos325_6_140	2	Kupffer cell
CD45pos325_6_150	2	Kupffer cell
CD45pos325_6_157	2	Kupffer cell
CD45pos325_6_173	2	Kupffer cell
CD45pos325_6_180	25	Kupffer cell
CD45pos325_6_186	6	Kupffer cell
CD45pos325_6_189	2	Kupffer cell
CD45pos325_7_6	2	Kupffer cell
CD45pos325_7_40	6	Kupffer cell
CD45pos325_7_48	2	Kupffer cell
CD45pos325_7_53	6	Kupffer cell
CD45pos325_7_70	2	Kupffer cell
CD45pos325_7_75	2	Kupffer cell
CD45pos325_7_83	2	Kupffer cell
CD45pos325_7_85	17	Hepatocytes
CD45pos325_7_89	2	Kupffer cell
CD45pos325_8_101	2	Kupffer cell
CD45pos325_8_102	2	Kupffer cell
CD45pos325_8_105	2	Kupffer cell
CD45pos325_8_109	2	Kupffer cell
CD45pos325_8_111	2	Kupffer cell
CD45pos325_8_113	11	Hepatocytes
CD45pos325_8_120	2	Kupffer cell
CD45pos325_8_121	2	Kupffer cell
CD45pos325_8_122	23	Kupffer cell
CD45pos325_8_135	2	Kupffer cell
CD45pos325_8_142	2	Kupffer cell
CD45pos325_8_152	2	Kupffer cell
CD45pos325_8_159	2	Kupffer cell
CD45pos325_8_161	2	Kupffer cell
CD45pos325_8_166	2	Kupffer cell
CD45pos325_8_169	2	Kupffer cell
CD45pos325_8_179	2	Kupffer cell
CD45posfresh_5_14	4	EPCAM+
CD45posfresh_5_20	2	Kupffer cell
CD45posfresh_5_21	25	Kupffer cell
CD45posfresh_5_38	2	Kupffer cell
CD45posfresh_5_40	2	Kupffer cell
CD45posfresh_5_44	25	Kupffer cell
CD45posfresh_5_59	6	Kupffer cell
CD45posfresh_5_63	2	Kupffer cell
CD45posfresh_5_72	25	Kupffer cell
CD45posfresh_5_77	6	Kupffer cell
CD45posfresh_5_89	6	Kupffer cell
CD45posfresh_5_95	2	Kupffer cell
CD45posfresh_6_104	2	Kupffer cell
CD45posfresh_6_113	2	Kupffer cell
CD45posfresh_6_114	2	Kupffer cell
CD45posfresh_6_125	2	Kupffer cell
CD45posfresh_6_126	2	Kupffer cell
CD45posfresh_6_127	2	Kupffer cell
CD45posfresh_6_130	25	Kupffer cell
CD45posfresh_6_135	4	EPCAM+
CD45posfresh_6_137	2	Kupffer cell
CD45posfresh_6_167	6	Kupffer cell
CD45posfresh_6_170	25	Kupffer cell
CD45posfresh_6_171	2	Kupffer cell
CD45posfresh_6_175	25	Kupffer cell
CD45posfresh_6_180	2	Kupffer cell
CD45posfresh_6_181	2	Kupffer cell
CD45posfresh_6_182	2	Kupffer cell
CD45posfresh_6_188	17	Hepatocytes
CD45posfresh_6_190	2	Kupffer cell
CD45posfresh_6_191	2	Kupffer cell
CD45posfresh_7_13	2	Kupffer cell
CD45posfresh_7_33	25	Kupffer cell
CD45posfresh_7_34	2	Kupffer cell
CD45posfresh_7_35	2	Kupffer cell
CD45posfresh_7_40	2	Kupffer cell
CD45posfresh_7_41	2	Kupffer cell
CD45posfresh_7_58	6	Kupffer cell
CD45posfresh_7_59	2	Kupffer cell
CD45posfresh_7_72	2	Kupffer cell
CD45posfresh_7_92	2	Kupffer cell
CD45posfresh_8_101	2	Kupffer cell
CD45posfresh_8_117	4	EPCAM+
CD45posfresh_8_121	2	Kupffer cell
CD45posfresh_8_124	2	Kupffer cell
CD45posfresh_8_125	25	Kupffer cell
CD45posfresh_8_135	4	EPCAM+
CD45posfresh_8_145	2	Kupffer cell
CD45posfresh_8_147	2	Kupffer cell
CD45posfresh_8_159	2	Kupffer cell
CD45posfresh_8_161	2	Kupffer cell
CD45posfresh_8_163	25	Kupffer cell
CD45posfresh_8_169	2	Kupffer cell
CD45posfresh_8_172	2	Kupffer cell
CD45posfresh_8_173	31	Kupffer cell
CD45posfresh_8_175	2	Kupffer cell
CD45posfresh_8_181	2	Kupffer cell
CD45posfresh_8_184	6	Kupffer cell
CD45posfresh_8_191	2	Kupffer cell
CD45posfresh_8_192	2	Kupffer cell
CLEC4Gpos315_5_7	13	LSEC
CLEC4Gpos315_5_13	13	LSEC
CLEC4Gpos315_5_15	9	LSEC
CLEC4Gpos315_5_26	13	LSEC
CLEC4Gpos315_5_31	13	LSEC
CLEC4Gpos315_5_36	9	LSEC
CLEC4Gpos315_5_39	13	LSEC
CLEC4Gpos315_5_44	13	LSEC
CLEC4Gpos315_5_49	13	LSEC
CLEC4Gpos315_5_53	20	LSEC
CLEC4Gpos315_5_60	13	LSEC
CLEC4Gpos315_5_63	9	LSEC
CLEC4Gpos315_5_71	13	LSEC
CLEC4Gpos315_5_72	13	LSEC
CLEC4Gpos315_5_73	20	LSEC
CLEC4Gpos315_5_81	9	LSEC
CLEC4Gpos315_5_86	13	LSEC
CLEC4Gpos315_5_89	9	LSEC
CLEC4Gpos315_5_90	13	LSEC
CLEC4Gpos315_5_96	9	LSEC
CLEC4Gpos315_7_2	13	LSEC
CLEC4Gpos315_7_4	13	LSEC
CLEC4Gpos315_7_10	13	LSEC
CLEC4Gpos315_7_20	13	LSEC
CLEC4Gpos315_7_21	13	LSEC
CLEC4Gpos315_7_24	13	LSEC
CLEC4Gpos315_7_28	13	LSEC
CLEC4Gpos315_7_32	9	LSEC
CLEC4Gpos315_7_34	9	LSEC
CLEC4Gpos315_7_35	13	LSEC
CLEC4Gpos315_7_36	9	LSEC
CLEC4Gpos315_7_37	13	LSEC
CLEC4Gpos315_7_38	13	LSEC
CLEC4Gpos315_7_42	13	LSEC
CLEC4Gpos315_7_43	13	LSEC
CLEC4Gpos315_7_54	13	LSEC
CLEC4Gpos315_7_76	13	LSEC
CLEC4Gpos315_7_87	9	LSEC
CLEC4Gpos315_8_103	2	Kupffer cell
CLEC4Gpos315_8_108	13	LSEC
CLEC4Gpos315_8_116	13	LSEC
CLEC4Gpos315_8_120	13	LSEC
CLEC4Gpos315_8_130	13	LSEC
CLEC4Gpos315_8_138	13	LSEC
CLEC4Gpos315_8_151	9	LSEC
CLEC4Gpos315_8_153	9	LSEC
